sep=,
Filename,Version,FileVersion,InfoVersion
Sitecore.Processing.Common.Sql.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Cursors.Abstractions.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Cursors.Sql.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Engine.Abstractions.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Engine.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Engine.ML.Abstractions.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Engine.ML.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Engine.Model.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Engine.Projection.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Engine.Storage.Abstractions.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Engine.Storage.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Engine.Storage.Sql.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Tasks.Abstractions.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Tasks.Options.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Processing.Tasks.Sql.dll,6.0.0.0,6.0.0.0,6.0.0-r00288.7331
Sitecore.Reporting.Client.dll,5.0.0.0,5.0.0.0,5.0.0-r00166.33
Sitecore.Reporting.Core.dll,5.0.0.0,5.0.0.0,5.0.0-r00166.33
Sitecore.Reporting.Data.Abstractions.dll,5.0.0.0,5.0.0.0,5.0.0-r00166.33
Sitecore.Reporting.Data.Sql.dll,5.0.0.0,5.0.0.0,5.0.0-r00166.33
Sitecore.Reporting.Service.Abstractions.dll,5.0.0.0,5.0.0.0,5.0.0-r00166.33
Sitecore.Reporting.Service.Data.dll,5.0.0.0,5.0.0.0,5.0.0-r00166.33
Sitecore.XConnect.Client.Configuration.XConnect.dll,7.0.0.0,7.0.0.0,7.0.0-r00119.2509
Sitecore.XConnect.Client.dll,7.0.0.0,7.0.0.0,7.0.0-r00394.3648
Sitecore.XConnect.Collection.Model.dll,7.0.0.0,7.0.0.0,7.0.0-r00394.3648
Sitecore.XConnect.Configuration.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.Core.dll,4.1.0.0,4.1.0.0,4.1.0-r00266.2379
Sitecore.XConnect.DataPurge.CortexWorkers.dll,2.0.0.0,2.0.0.0,2.0.0-r00052.772
Sitecore.XConnect.DataPurge.Tasks.Options.dll,2.0.0.0,2.0.0.0,2.0.0-r00052.772
Sitecore.XConnect.DataTools.Abstractions.dll,2.0.0.0,2.0.0.0,2.0.0-r00052.772
Sitecore.XConnect.DataTools.Conditions.dll,2.0.0.0,2.0.0.0,2.0.0-r00052.772
Sitecore.XConnect.DependencyInjection.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.DependencyInjection.Web.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1927
Sitecore.XConnect.Diagnostics.ApplicationInsights.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.Diagnostics.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.Diagnostics.PerformanceCounters.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.dll,7.0.0.0,7.0.0.0,7.0.0-r00394.3648
Sitecore.XConnect.HealthCheck.WebApi.dll,6.1.0.0,6.1.0.0,6.1.0-r00018.743
Sitecore.XConnect.Hosting.dll,6.1.0.0,6.1.0.0,6.1.0-r00018.743
Sitecore.XConnect.Hosting.OwinSelfHost.dll,6.1.0.0,6.1.0.0,6.1.0-r00018.743
Sitecore.XConnect.Logging.Serilog.AppInsights.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.Logging.Serilog.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.Search.dll,3.1.0.0,3.1.0.0,3.1.0-r00093.1506
Sitecore.Xdb.Common.Web.dll,5.0.0.0,5.0.0.0,5.0.0-r00077.1776
Sitecore.Xdb.Sql.Common.Encryption.dll,8.0.0.0,8.0.0.0,8.0.0-r00089.2087
Sitecore.Xdb.Sql.Common.HealthCheck.dll,8.0.0.0,8.0.0.0,8.0.0-r00089.2085
System.Buffers.dll,4.0.3.0,4.6.28619.01,4.6.28619.01 @BuiltBy: dlab14-DDVSOWINAGE069 @Branch: release/2.1 @SrcCode: https://github.com/dotnet/corefx/tree/7601f4f6225089ffb291dc7d58293c7bbf5c5d4f
System.ComponentModel.Annotations.dll,4.2.1.0,4.6.26515.06,4.6.26515.06 @BuiltBy: dlab-DDVSOWINAGE059 @Branch: release/2.1 @SrcCode: https://github.com/dotnet/corefx/tree/30ab651fcb4354552bd4891619a0bdd81e0ebdbf
System.Configuration.ConfigurationManager.dll,4.0.1.0,4.6.26515.06,4.6.26515.06 @BuiltBy: dlab-DDVSOWINAGE059 @Branch: release/2.1 @SrcCode: https://github.com/dotnet/corefx/tree/30ab651fcb4354552bd4891619a0bdd81e0ebdbf
System.Data.SqlClient.dll,4.6.1.1,4.700.20.6702,3.1.2+e946cebe43a510e8c6476bbc8185d1445df33a1a
System.Diagnostics.DiagnosticSource.dll,4.0.4.0,4.700.19.46214,3.0.0+4ac4c0367003fe3973a3648eb0715ddb0e3bbcea
System.Interactive.Async.dll,4.0.0.0,4.0.0.2,4.0.0+6ce573bea6
System.Interactive.Async.Providers.dll,4.0.0.0,4.0.0.2,4.0.0+6ce573bea6
System.Linq.Async.dll,4.0.0.0,4.0.0.2,4.0.0+6ce573bea6
System.Linq.Async.Queryable.dll,4.0.0.0,4.0.0.2,4.0.0+6ce573bea6
System.Memory.dll,4.0.1.1,4.6.28619.01,4.6.28619.01 @BuiltBy: dlab14-DDVSOWINAGE069 @Branch: release/2.1 @SrcCode: https://github.com/dotnet/corefx/tree/7601f4f6225089ffb291dc7d58293c7bbf5c5d4f
System.Net.Http.Formatting.dll,5.2.6.0,5.2.60510.0,5.2.6-60510 (3155d174ba1d7e281ef0b9bbe78fb10a43aa7450)
