sep=,
Filename,Version,FileVersion,InfoVersion
Serilog.Extensions.Logging.dll,2.0.0.0,2.0.2.0,2.0.2
Serilog.Settings.Configuration.dll,2.6.1.0,2.6.1.0,2.6.1
Serilog.Sinks.ApplicationInsights.dll,2.6.0.0,2.6.0.0,2.6.0
Serilog.Sinks.ColoredConsole.dll,3.0.1.0,3.0.1.0,3.0.1
Serilog.Sinks.Console.dll,3.0.1.0,3.0.1.0,3.0.1-master-70dd370
Serilog.Sinks.File.dll,2.0.0.0,4.0.0.0,4.0.0-master-6d463c0
Serilog.Sinks.RollingFile.dll,2.0.0.0,3.3.0.0,3.3.0
Serilog.Sinks.Trace.dll,2.0.0.0,2.1.0.0,2.1.0
Sitecore.Async.Extensions.Legacy.dll,4.1.0.0,4.1.0.0,4.1.0-r00266.2377
Sitecore.ContentTesting.Model.xConnect.dll,18.0.0.0,18.0.0.0,18.0.0-r02914.11886
Sitecore.EmailCampaign.Activities.dll,12.0.0.0,12.0.0.0,12.0.0-r02358.12084
Sitecore.EmailCampaign.Core.dll,12.0.0.0,12.0.0.0,12.0.0-r02358.12084
Sitecore.EmailCampaign.Model.dll,12.0.0.0,12.0.0.0,12.0.0-r02358.12084
Sitecore.EmailCampaign.XConnect.dll,12.0.0.0,12.0.0.0,12.0.0-r02358.12084
Sitecore.Framework.Common.Abstractions.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Common.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Common.WildcardMatch.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Conditions.dll,5.0.0.0,5.0.0.0,5.0.0
Sitecore.Framework.Configuration.Abstractions.dll,6.0.0.0,6.0.1.0,6.0.1
Sitecore.Framework.Configuration.Common.dll,6.0.0.0,6.0.1.0,6.0.1
Sitecore.Framework.Configuration.dll,6.0.0.0,6.0.1.0,6.0.1
Sitecore.Framework.Configuration.Extensions.dll,6.0.0.0,6.0.1.0,6.0.1
Sitecore.Framework.Configuration.Xml.dll,6.0.0.0,6.0.1.0,6.0.1
Sitecore.Framework.Messaging.Abstractions.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Messaging.Configuration.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Messaging.Rebus.Azure.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Messaging.Rebus.Configuration.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Messaging.Rebus.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Messaging.Rebus.SqlServer.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Rules.Abstractions.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.Rules.Api.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.Rules.Core.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.Rules.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.Rules.Model.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.Rules.Registry.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.Rules.Serialization.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.TransientFaultHandling.Abstractions.dll,3.0.0.0,3.0.3.0,3.0.3
Sitecore.Framework.TransientFaultHandling.dll,3.0.0.0,3.0.3.0,3.0.3
Sitecore.Framework.TransientFaultHandling.EntLib.dll,3.0.0.0,3.0.3.0,3.0.3
Sitecore.Framework.TransientFaultHandling.Sql.dll,3.0.0.0,3.0.3.0,3.0.3
Sitecore.ListManagement.XConnect.dll,8.0.0.0,8.0.0.0,8.0.0-r02048.7198
Sitecore.Marketing.Automation.Activity.dll,8.0.0.0,8.0.0.0,8.0.0-r00798.1771
Sitecore.Marketing.Automation.Models.dll,8.0.0.0,8.0.0.0,8.0.0-r00798.1771
Sitecore.Marketing.Core.dll,18.0.0.0,18.0.0.0,18.0.0-r00337.2017
Sitecore.Marketing.dll,18.0.0.0,18.0.0.0,18.0.0-r00337.2017
Sitecore.Marketing.Operations.Xdb.ReferenceData.dll,18.0.0.0,18.0.0.0,18.0.0-r00337.2017
Sitecore.Marketing.Operations.Xdb.ReferenceData.Model.dll,18.0.0.0,18.0.0.0,18.0.0-r00337.2017
Sitecore.Marketing.Operations.Xdb.ReferenceData.Service.dll,18.0.0.0,18.0.0.0,18.0.0-r00337.2017
Sitecore.Marketing.Taxonomy.dll,18.0.0.0,18.0.0.0,18.0.0-r00337.2017
Sitecore.Nexus.Consumption.dll,1.0.0.0,1.4.2.0,1.4.2-r00144
Sitecore.Nexus.Licensing.dll,2.0.0.0,2.0.6.0,2.0.6-r00062
Sitecore.XConnect.Client.Configuration.XConnect.dll,7.0.0.0,7.0.0.0,7.0.0-r00119.2509
Sitecore.XConnect.Client.dll,7.0.0.0,7.0.0.0,7.0.0-r00394.3648
Sitecore.XConnect.Collection.Model.dll,7.0.0.0,7.0.0.0,7.0.0-r00394.3648
Sitecore.XConnect.Configuration.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.Core.dll,4.1.0.0,4.1.0.0,4.1.0-r00266.2377
Sitecore.XConnect.DependencyInjection.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.DependencyInjection.Web.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1927
Sitecore.XConnect.Diagnostics.ApplicationInsights.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.Diagnostics.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.Diagnostics.PerformanceCounters.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.dll,7.0.0.0,7.0.0.0,7.0.0-r00394.3648
Sitecore.XConnect.HealthCheck.WebApi.dll,6.1.0.0,6.1.0.0,6.1.0-r00018.743
Sitecore.XConnect.Hosting.dll,6.1.0.0,6.1.0.0,6.1.0-r00018.743
Sitecore.XConnect.Hosting.OwinSelfHost.dll,6.1.0.0,6.1.0.0,6.1.0-r00018.743
Sitecore.XConnect.Logging.Serilog.AppInsights.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.Logging.Serilog.dll,3.5.0.0,3.5.0.0,3.5.0-r00127.1929
Sitecore.XConnect.Messaging.Azure.dll,8.0.0.0,8.0.0.0,8.0.0-r00029.1352
Sitecore.XConnect.Messaging.dll,8.0.0.0,8.0.0.0,8.0.0-r00029.1352
Sitecore.XConnect.Messaging.SqlServer.dll,8.0.0.0,8.0.0.0,8.0.0-r00029.1352
Sitecore.XConnect.Search.dll,3.1.0.0,3.1.0.0,3.1.0-r00093.1503
Sitecore.XConnect.Segmentation.Conditions.dll,10.0.0.0,10.0.0.0,10.0.0-r00269.2528
Sitecore.XConnect.Segmentation.Configuration.dll,10.0.0.0,10.0.0.0,10.0.0-r00269.2528
Sitecore.XConnect.Segmentation.Engine.dll,10.0.0.0,10.0.0.0,10.0.0-r00269.2528
Sitecore.XConnect.Segmentation.ExpressionBuilder.Model.dll,10.0.0.0,10.0.0.0,10.0.0-r00269.2528
Sitecore.XConnect.Segmentation.Predicates.dll,10.0.0.0,10.0.0.0,10.0.0-r00269.2528
Sitecore.XConnect.Segmentation.Predicates.Model.dll,10.0.0.0,10.0.0.0,10.0.0-r00269.2528
Sitecore.XConnect.Service.dll,7.0.0.0,7.0.0.0,7.0.0-r00394.3648
Sitecore.XConnect.Service.Plugins.dll,7.0.0.0,7.0.0.0,7.0.0-r00394.3648
Sitecore.Xdb.Collection.dll,4.1.0.0,4.1.0.0,4.1.0-r00255.2091
Sitecore.Xdb.Common.Web.dll,5.0.0.0,5.0.0.0,5.0.0-r00077.1776
Sitecore.Xdb.MarketingAutomation.Core.dll,8.0.0.0,8.0.0.0,8.0.0-r00097.1845
Sitecore.Xdb.MarketingAutomation.dll,8.0.0.0,8.0.0.0,8.0.0-r00562.5755
